Nr. crt.,Numele padurii virgine si/sau cvasivirgine,"Fundamentat in baza Amenaj silvic, editia","Fundamentat in baza Studiu de fundam, editia",Tipul de proprietate,Latitude,Longitude,Altitudine min,Altitudine max,Localizare administrativa Judet,Detinator Admin OS/OSP,UP,u.a.,TP,S (ha),din care: suprafete care nu corespund criteriului de naturalitate u.a.,din care: suprafete care nu corespund criteriului de naturalitate S (ha)
41,Galbena,2014.0,,publică stat,46.56338333333333,22.685502777777778,900.0,1150.0,Bihor,OS Sudrigiu,III,17B,1343.0,6.92,,
42,Galbena,2014.0,,publică stat,46.56144722222222,22.687880555555555,830.0,1300.0,Bihor,OS Sudrigiu,III,20B,1341.0,48.21,,
43,Galbena,2014.0,,publică stat,46.556824999999996,22.68006388888889,720.0,1000.0,Bihor,OS Sudrigiu,III,21A,1343.0,10.62,,
44,Galbena,2014.0,,publică stat,46.55499444444444,22.68796111111111,870.0,1350.0,Bihor,OS Sudrigiu,III,22B,1341.0,39.34,,
45,Galbena,2014.0,,publică stat,46.54264722222222,22.656474999999997,750.0,1050.0,Bihor,OS Sudrigiu,III,64A,1331.0,22.01,,
46,Galbena,2014.0,,publică stat,46.54403611111111,22.653016666666666,850.0,1100.0,Bihor,OS Sudrigiu,III,65B,1342.0,7.46,,
47,Galbena,2014.0,,publică stat,46.53785555555555,22.651425,1050.0,1300.0,Bihor,OS Sudrigiu,III,65E,1343.0,16.6,,
48,Galbena,2014.0,,publică stat,46.54521944444444,22.65476111111111,760.0,1050.0,Bihor,OS Sudrigiu,III,65G,1341.0,1.32,,
49,Galbena,2014.0,,publică stat,46.55583333333333,22.657349999999997,600.0,1000.0,Bihor,OS Sudrigiu,III,73A,1343.0,19.34,,
50,Galbena,2014.0,,publică stat,46.558499999999995,22.65576111111111,600.0,1100.0,Bihor,OS Sudrigiu,III,73B,1331.0,34.8,,
51,Galbena,2014.0,,publică stat,46.557269444444444,22.651838888888886,850.0,1000.0,Bihor,OS Sudrigiu,III,74C,1331.0,9.49,,
52,Galbena,2014.0,,publică stat,46.58157777777778,22.662125,1050.0,1150.0,Bihor,OS Sudrigiu,III,5D,2212.0,41.73,,
53,Olteana,2011.0,,publică stat,45.32405555555556,22.53846111111111,1210.0,1425.0,Caraş Severin,O.S. Oțelu Roșu,VII,67A,1321.0,20.6,,
54,Olteana,2011.0,,publică stat,45.32338333333334,22.541161111111112,1415.0,1525.0,Caraş Severin,O.S. Oțelu Roșu,VII,67B,1141.0,5.95,,
55,Olteana,2011.0,,publică stat,45.32413888888889,22.540944444444445,1400.0,1485.0,Caraş Severin,O.S. Oțelu Roșu,VII,67C,4114.0,4.5,,
56,Olteana,2011.0,,publică stat,45.32261666666667,22.542338888888892,1360.0,1525.0,Caraş Severin,O.S. Oțelu Roșu,VII,69B,1141.0,15.2,,
57,Olteana,2011.0,,publică stat,45.32046944444445,22.543780555555557,1495.0,1590.0,Caraş Severin,O.S. Oțelu Roșu,VII,69D,1141.0,12.7,,
58,Olteana,2011.0,,publică stat,45.32458888888889,22.53536666666667,1255.0,1535.0,Caraş Severin,O.S. Oțelu Roșu,VII,70A,4114.0,16.7,,
59,Olteana,2011.0,,publică stat,45.321738888888895,22.536411111111114,1360.0,1515.0,Caraş Severin,O.S. Oțelu Roșu,VII,70B,1141.0,5.99,,
60,Olteana,2011.0,,publică stat,45.32116666666667,22.53611388888889,1470.0,1555.0,Caraş Severin,O.S. Oțelu Roșu,VII,70C,1141.0,2.87,,
61,Olteana,2011.0,,publică stat,45.326863888888894,22.526780555555554,1300.0,1465.0,Caraş Severin,O.S. Oțelu Roșu,VII,72C,4114.0,3.67,,
62,Olteana,2011.0,,publică stat,45.32585,22.523038888888887,1325.0,1455.0,Caraş Severin,O.S. Oțelu Roșu,VII,76D,4114.0,6.02,,
63,Olteana,2011.0,,publică stat,45.32291388888889,22.512875,1330.0,1435.0,Caraş Severin,O.S. Oțelu Roșu,VII,81B,4114.0,6.47,,
64,Olteana,2011.0,,publică stat,45.31747777777778,22.512425,1090.0,1300.0,Caraş Severin,O.S. Oțelu Roșu,VII,84A,4114.0,8.18,,
65,Olteana,2011.0,,publică stat,45.31759166666667,22.515430555555554,1275.0,1440.0,Caraş Severin,O.S. Oțelu Roșu,VII,84B,4114.0,13.1,,
66,Olteana,2011.0,,publică stat,45.31613055555555,22.510902777777776,1090.0,1370.0,Caraş Severin,O.S. Oțelu Roșu,VII,87A,4114.0,14.1,,
67,Olteana,2011.0,,publică stat,45.314730555555556,22.514533333333333,1275.0,1470.0,Caraş Severin,O.S. Oțelu Roșu,VII,87B,4114.0,13.8,,
68,Olteana,2011.0,,publică stat,45.31325,22.506541666666667,1345.0,1460.0,Caraş Severin,O.S. Oțelu Roșu,VII,88B,4114.0,11.7,,
69,Olteana,2011.0,,publică stat,45.30692777777777,22.50775,1165.0,1370.0,Caraş Severin,O.S. Oțelu Roșu,VII,90A,4114.0,23.3,,
