Nr. crt.,Numele padurii virgine si/sau cvasivirgine,"Fundamentat in baza Amenaj silvic, editia","Fundamentat in baza Studiu de fundam, editia",Tipul de proprietate,Latitude,Longitude,Altitudine min,Altitudine max,Localizare administrativa Judet,Detinator Admin OS/OSP,UP,u.a.,TP,S (ha),din care: suprafete care nu corespund criteriului de naturalitate u.a.,din care: suprafete care nu corespund criteriului de naturalitate S (ha),geometry,tree_cover,loss_year
147,Valea Buţii,2009,,privata PJ,45.31609167,22.91790833,1200.0,1500.0,Hunedoara,As. Comp. Câmpul lui Neag/ RPL OS Valea Orastiei RA,I Campul lui Neag,15B,1151.0,19.0,,,POINT (22.91790833 45.31609167),96,0
148,Valea Buţii,2009,,privata PJ,45.31183056,22.93698333,1300.0,1750.0,Hunedoara,As. Comp. Câmpul lui Neag/ RPL OS Valea Orastiei RA,I Campul lui Neag,18D,1114.0,41.2,,,POINT (22.93698333 45.31183056),96,0
51,Og. Ursului,2014,,publica stat,45.25579722,22.58057778,1000.0,1250.0,Caras Severin,OS Teregova,III,76A,4141.0,15.1,,,POINT (22.58057778 45.25579722),76,0
52,Og. Ursului,2014,,publica stat,45.25732222,22.57859722,1300.0,1350.0,Caras Severin,OS Teregova,III,76B,4161.0,7.04,,,POINT (22.57859722 45.25732222),74,0
53,Og. Ursului,2014,,publica stat,45.25871389,22.58389167,1150.0,1350.0,Caras Severin,OS Teregova,III,77A,4161.0,8.98,,,POINT (22.58389167 45.25871389),100,0
54,Og. Ursului,2014,,publica stat,45.26216667,22.58561944,1100.0,1350.0,Caras Severin,OS Teregova,III,78A,4161.0,11.17,,,POINT (22.58561944 45.26216667),99,0
55,Og. Ursului,2014,,publica stat,45.26405278,22.5822,1250.0,1350.0,Caras Severin,OS Teregova,III,78B,1141.0,4.03,,,POINT (22.5822 45.26405278),89,0
56,Og. Ursului,2014,,publica stat,45.26536667,22.58504722,1150.0,1250.0,Caras Severin,OS Teregova,III,78C,4161.0,4.42,,,POINT (22.58504722 45.26536667),74,0
57,Og. Ursului,2014,,publica stat,45.26732778,22.58470556,1150.0,1250.0,Caras Severin,OS Teregova,III,79A,4161.0,15.89,,,POINT (22.58470556 45.26732778),82,0
58,Og. Ursului,2014,,publica stat,45.26699167,22.58145556,1250.0,1350.0,Caras Severin,OS Teregova,III,79B,1141.0,4.46,,,POINT (22.58145556 45.26699167),97,0
59,Og. Ursului,2014,,publica stat,45.270325,22.58305833,1150.0,1350.0,Caras Severin,OS Teregova,III,80A,1153.0,26.39,,,POINT (22.58305833 45.270325),76,0
60,Og. Ursului,2014,,publica stat,45.27385833,22.58227778,1200.0,1400.0,Caras Severin,OS Teregova,III,81A,1153.0,14.33,,,POINT (22.58227778 45.27385833),85,0
61,Manioasa,2014,,publica stat,45.25168611,22.58223611,1050.0,1350.0,Caras Severin,OS Teregova,IV,85A,4161.0,14.54,,,POINT (22.58223611 45.25168611),85,0
62,Manioasa,2014,,publica stat,45.25038333,22.58485278,1300.0,1400.0,Caras Severin,OS Teregova,IV,85B,1153.0,6.22,,,POINT (22.58485278 45.25038333),95,0
63,Manioasa,2014,,publica stat,45.25285,22.58397222,1050.0,1350.0,Caras Severin,OS Teregova,IV,86A,4161.0,17.64,,,POINT (22.58397222 45.25285),85,0
64,Manioasa,2014,,publica stat,45.25124722,22.58629722,1300.0,1400.0,Caras Severin,OS Teregova,IV,86B,1153.0,2.14,,,POINT (22.58629722 45.25124722),89,0
65,Manioasa,2014,,publica stat,45.25353889,22.58608889,1100.0,1300.0,Caras Severin,OS Teregova,IV,87A,4161.0,6.21,,,POINT (22.58608889 45.25353889),94,0
66,Manioasa,2014,,publica stat,45.25508333,22.58655833,1100.0,1300.0,Caras Severin,OS Teregova,IV,87B,4161.0,4.33,,,POINT (22.58655833 45.25508333),90,0
67,Manioasa,2014,,publica stat,45.25745,22.58854167,1100.0,1200.0,Caras Severin,OS Teregova,IV,87C,4161.0,9.66,,,POINT (22.58854167 45.25745),90,0
